,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,1
2,1,1,1,1,1,2,2,1,1,0,2,1,1,1,1
3,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2
4,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2
5,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1
6,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
7,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
8,1,1,1,1,1,1,0,2,2,2,2,1,1,2,1
9,1,1,1,1,1,1,2,1,2,1,1,2,1,2,2
10,1,1,1,1,1,2,1,1,2,2,1,2,1,2,1
11,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2
12,1,1,1,1,1,2,2,2,2,0,1,2,2,2,1
13,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1
14,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1
15,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2
16,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1
17,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2
18,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1
19,1,1,1,1,1,1,1,1,2,1,1,1,2,0,1
20,1,1,1,1,1,2,1,2,1,1,1,0,1,1,2
21,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1
22,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2
23,1,1,1,1,1,2,1,2,2,0,2,1,1,1,0
24,1,1,1,1,1,2,0,2,1,0,2,2,2,1,2
25,1,1,1,1,1,1,1,1,2,0,2,1,2,2,1
26,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1
